produto;classificação;unidade/peso;menor;comum;maior;quilo;data
ABACATE AVOCADO;A              ;KG  ;9,79;10,79;11,79;1;26/09/2018
ABACATE BREDA;A BOCA 8 a 10  ;KG  ;4,13;4,29;4,45;1;26/09/2018
ABACATE BREDA;B BOCA 11 e 12 ;KG  ;3,61;3,77;3,93;1;26/09/2018
ABACATE MARGARIDA;A BOCA 8 a 10  ;KG  ;2,75;2,89;3,02;1;26/09/2018
ABACATE MARGARIDA;B BOCA 11 e 12 ;KG  ;2,42;2,55;2,69;1;26/09/2018
ABACAXI HAVAI;A GRAUDO       ;UND ;4,05;4,24;4,53;2,2;26/09/2018
ABACAXI HAVAI;B MEDIO        ;UND ;3,34;3,72;4,01;1,8;26/09/2018
ABACAXI HAVAI;C MIUDO        ;UND ;2,08;2,55;3,03;1,4;26/09/2018
ABACAXI PEROLA;A GRAUDO       ;UND ;3,82;4,12;4,33;1,8;26/09/2018
ABACAXI PEROLA;B MEDIO        ;UND ;3,14;3,5;3,78;1,4;26/09/2018
ABACAXI PEROLA;C MIUDO        ;UND ;2,17;2,53;2,89;1;26/09/2018
ACEROLA FRESCA;-;KG  ;14,93;15,93;16,93;1;26/09/2018
AMEIXA ESTRANG. ESPANHOLA;-;KG  ;8,36;9,04;9,72;1;26/09/2018
ATEMOIA ;12 FRUTOS      ;KG  ;8,91;9,91;10,91;1;26/09/2018
ATEMOIA ;15 FRUTOS      ;KG  ;7,33;8,12;8,9;1;26/09/2018
ATEMOIA ;8/10 FRUTOS    ;KG  ;10,91;11,91;12,92;1;26/09/2018
BANANA MACA;-;KG  ;3,86;4,23;4,63;1;26/09/2018
BANANA NANICA CLIMAT.;-;KG  ;1,81;2,01;2,16;1;26/09/2018
BANANA OURO;-;KG  ;4,17;4,65;4,95;1;26/09/2018
BANANA PRATA MG;-;KG  ;2;2,2;2,39;1;26/09/2018
BANANA PRATA SP;-;KG  ;1,74;1,91;2,1;1;26/09/2018
BANANA TERRA;-;KG  ;2,35;2,68;2,91;1;26/09/2018
CAJU ;A              ;KG  ;13,7;14,7;15,7;1;26/09/2018
CAJU ;B              ;KG  ;10,93;11,93;12,93;1;26/09/2018
CARAMBOLA ;-;KG  ;6,93;7,86;8,79;1;26/09/2018
CASTANHA ESTRANGEIRA;PORTUGUESA     ;KG  ;48;49;50;1;26/09/2018
COCO VERDE ;-;UND ;1,36;1,43;1,5;2,5;26/09/2018
FIGO ;A              ;KG  ;23,78;24,78;25,78;1;26/09/2018
FIGO ;B              ;KG  ;20;21;22;1;26/09/2018
FRUTA DO CONDE ;12 FRUTOS      ;KG  ;6,84;7,84;8,84;1;26/09/2018
FRUTA DO CONDE ;15 FRUTOS      ;KG  ;5,27;6,05;6,84;1;26/09/2018
FRUTA DO CONDE ;18 FRUTOS      ;KG  ;4,27;4,77;5,27;1;26/09/2018
FRUTA DO CONDE ;9/10 FRUTOS    ;KG  ;8,84;9,84;10,84;1;26/09/2018
GOIABA BRANCA;12 FRUTOS      ;KG  ;3,79;4,19;4,58;1;26/09/2018
GOIABA BRANCA;15 FRUTOS      ;KG  ;3,79;4,19;4,58;1;26/09/2018
GOIABA BRANCA;18 FRUTOS      ;KG  ;2,95;3,34;3,72;1;26/09/2018
GOIABA BRANCA;9 FRUTOS       ;KG  ;3,79;4,19;4,58;1;26/09/2018
GOIABA VERMELHA;12 FRUTOS      ;KG  ;4,06;4,44;4,8;1;26/09/2018
GOIABA VERMELHA;15 FRUTOS      ;KG  ;4,06;4,44;4,8;1;26/09/2018
GOIABA VERMELHA;18 FRUTOS      ;KG  ;3,2;3,56;3,92;1;26/09/2018
GOIABA VERMELHA;9 FRUTOS       ;KG  ;4,06;4,44;4,8;1;26/09/2018
GRAVIOLA ;-;KG  ;5,34;5,84;6,34;1;26/09/2018
JABUTICABA ;-;KG  ;11,85;12,87;13,88;1;26/09/2018
JACA ;-;KG  ;1,82;2,03;2,23;1;26/09/2018
KIWI ESTRANG. CHILENO;-;KG  ;7,61;8,14;8,67;1;26/09/2018
KIWI ESTRANG. NOVA ZELANDIA;-;KG  ;12,08;14,04;16;1;26/09/2018
LARANJA BAIA;A (7/10 DZ)    ;KG  ;2,64;2,74;2,84;1;26/09/2018
